filename,Original Area,Original Perimeter,Original m10,Original m01,Original m11,Original m20,Original m02,Convex Hull Area,Convex Hull Perimeter,Convex Hull m10,Convex Hull m01,Convex Hull m11,Convex Hull m20,Convex Hull m02,# of Deficits,Area of Deficits
00000048.png,4908.0,310.23964416980743,226410.66666666666,329913.1666666666,15547724.5,11147330.0,27905875.333333332,4908.0,310.23964416980743,226410.66666666666,329913.1666666666,15547724.5,11147330.0,27905875.333333332,13,1448.5000000000014
00000049.png,5415.5,320.33126878738403,256824.8333333333,376110.5,18287560.208333332,13162081.583333332,32404901.916666664,5415.5,320.33126878738403,256824.8333333333,376110.5,18287560.208333332,13162081.583333332,32404901.916666664,15,1980.9999999999977
00000050.png,5899.0,328.53062200546265,284429.3333333333,422945.6666666666,20959843.25,15050773.833333332,37086033.83333333,5899.0,328.53062200546265,284429.3333333333,422945.6666666666,20959843.25,15050773.833333332,37086033.83333333,13,2125.4999999999964
00000051.png,6140.0,333.70411372184753,296022.6666666666,445626.8333333333,22032309.333333332,15810322.0,39307662.83333333,6140.0,333.70411372184753,296022.6666666666,445626.8333333333,22032309.333333332,15810322.0,39307662.83333333,11,2350.5
00000052.png,6371.5,336.7685008049011,304936.0,466750.8333333333,22776050.208333332,16298828.75,41426691.75,6371.5,336.7685008049011,304936.0,466750.8333333333,22776050.208333332,16298828.75,41426691.75,12,2528.000000000001
00000053.png,6463.5,340.65524113178253,302151.8333333333,482991.3333333333,22918050.541666664,15951045.916666666,43363507.416666664,6463.5,340.65524113178253,302151.8333333333,482991.3333333333,22918050.541666664,15951045.916666666,43363507.416666664,12,2658.500000000001
00000054.png,6370.0,339.71851098537445,285969.8333333333,480052.8333333333,21634787.666666664,14605575.666666666,43286346.33333333,6370.0,339.71851098537445,285969.8333333333,480052.8333333333,21634787.666666664,14605575.666666666,43286346.33333333,11,2738.5000000000036
00000055.png,6176.5,339.8617161512375,268314.5,466714.6666666666,20189689.208333332,13270593.583333332,42259984.416666664,6176.5,339.8617161512375,268314.5,466714.6666666666,20189689.208333332,13270593.583333332,42259984.416666664,11,2740.5000000000005
00000056.png,5974.5,336.31817519664764,251665.5,448967.5,18682620.791666664,12066175.583333332,40520860.58333333,5974.5,336.31817519664764,251665.5,448967.5,18682620.791666664,12066175.583333332,40520860.58333333,10,2595.499999999998
00000057.png,5858.5,333.7298526763916,242540.16666666666,433896.0,17627210.791666664,11376702.916666666,38942914.08333333,5858.5,333.7298526763916,242540.16666666666,433896.0,17627210.791666664,11376702.916666666,38942914.08333333,13,2561.000000000002
00000058.png,5484.5,326.14211201667786,225785.16666666666,397619.8333333333,16051511.875,10358525.75,35225743.25,5484.5,326.14211201667786,225785.16666666666,397619.8333333333,16051511.875,10358525.75,35225743.25,11,2517.0
00000059.png,5164.5,317.28935110569,213932.66666666666,363587.5,14818302.708333332,9702187.916666666,31661518.75,5164.5,317.28935110569,213932.66666666666,363587.5,14818302.708333332,9702187.916666666,31661518.75,13,2022.0000000000014
